Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F1,F2,F3,F4
1,53,93,17,24,1,2,1,0.289038389,-66.82563324,0,0
1,53,93,17,24,1,2,1,0.289038389,-65.00563354,0,0
1,53,93,17,24,1,2,1,0.289038285,-65.93039246,0,0
1,53,93,17,24,1,2,1,0.289038389,-84.5660202,0,0
1,53,93,17,24,1,2,1,0.289038389,-63.10345001,0,0
1,53,93,17,24,1,2,1,0.289038855,-66.18583221,0,0
1,53,93,17,24,1,2,1,0.289039684,-63.62127991,0,0
1,55,94,5,20,2,1,2,0.289035279,-62.46863098,0,0
1,55,94,5,20,2,1,2,0.289035382,-61.94404907,0,0
1,55,94,5,20,2,1,2,0.289035434,-62.78119202,0,0
1,55,94,5,20,2,1,2,0.289035434,-62.95553131,0,0
1,55,94,5,20,2,1,2,0.289035382,-62.70908661,0,0
1,55,94,5,20,2,1,2,0.289035434,-63.00465698,0,0
1,55,94,5,20,2,1,2,0.289035382,-61.79481812,0,0
1,55,94,5,20,2,1,2,0.289035227,-63.05062408,0,0
1,55,94,5,20,2,1,2,0.289035279,-63.27267761,0,0
1,55,94,5,20,2,1,2,0.289035434,-62.78119202,0,0
1,81,7,8,9,0,3,3,0.289033879,-62.57733459,0,0
1,81,7,8,9,0,3,3,0.28903445,-61.79474182,0,0
1,81,7,8,9,0,3,3,0.289033879,-62.21559448,0,0
1,81,7,8,9,0,3,3,0.281211521,7.179694223,0,0
1,81,7,8,9,0,3,3,0.28903445,-62.07664795,0,0
1,81,7,8,9,0,3,3,0.289033879,-62.07444305,0,0
1,81,7,8,9,0,3,3,0.289034501,-62.41037292,0,0
1,81,7,8,9,0,3,3,0.28903419,-62.84852142,0,0
1,81,7,8,9,0,3,3,0.28903419,-61.81708069,0,0
1,81,7,8,9,0,3,3,0.28903419,-62.31201477,0,0
2,12,52,14,29,1,2,1,0.289035745,-63.16849823,0,0
2,12,52,14,29,1,2,1,0.289035745,-63.20549316,0,0
2,12,52,14,29,1,2,1,0.289035849,-63.4861557,0,0
2,12,52,14,29,1,2,1,0.289035642,-63.33036346,0,0
2,12,52,14,29,1,2,1,0.289035745,-63.48166962,0,0
2,12,52,14,29,1,2,1,0.289035693,7.27853303,0,0
2,12,52,14,29,1,2,1,0.289035745,-63.30234833,-1,0
2,12,52,14,29,1,2,1,0.289035745,-63.09430237,0,0
2,12,52,14,29,1,2,1,0.289035642,-63.77972717,0,0
2,12,52,14,29,1,2,1,0.289035849,-63.4861557,0,0
2,21,63,19,29,1,2,0,0.289035123,-62.71068878,0,0
2,21,63,19,29,1,2,0,0.289035071,-61.67013855,0,0
2,21,63,19,29,1,2,0,0.28903502,-62.93352051,0,0
2,21,63,19,29,1,2,0,0.289034968,-61.5783493,0,0
2,21,63,19,29,1,2,0,0.289035331,-62.35711212,0,0
2,21,63,19,29,1,2,0,0.289034916,-62.75749512,0,0
2,21,63,19,29,1,2,0,0.289035382,-62.33251495,-3879,0
2,21,63,19,29,1,2,0,0.289035279,-62.48620911,0,0
2,21,63,19,29,1,2,0,0.289035382,-62.33212585,0,0
2,21,63,19,29,1,2,0,0.289034864,-62.54274292,0,0
2,53,35,15,23,3,1,1,0.289035279,-77.7919342,0,0
2,53,35,15,23,3,1,1,0.289035849,-83.56761475,0,0
2,53,35,15,23,3,1,1,0.289034761,-81.91409607,0,0
2,53,35,15,23,3,1,1,0.28903559,-79.53820343,0,0
2,53,35,15,23,3,1,1,0.28903559,-82.44778748,0,0
2,53,35,15,23,3,1,1,0.289035071,-78.32520599,0,0
2,53,35,15,23,3,1,1,0.289035123,-82.81776733,0,0
2,53,35,15,23,3,1,1,0.289035175,-82.76615448,0,0
2,53,35,15,23,3,1,1,0.289035849,-79.06544037,0,0
2,53,35,15,23,3,1,1,0.289035382,-78.90780182,0,0
2,69,33,2,8,3,3,0,0.289037404,-65.72227783,0,0
2,69,33,2,8,3,3,0,0.2890373,-65.46850128,0,0
2,69,33,2,8,3,3,0,0.2890373,-64.9252655,0,0
2,69,33,2,8,3,3,0,0.289037404,-65.05718536,0,0
2,69,33,2,8,3,3,0,0.289037456,-65.26528473,0,0
2,69,33,2,8,3,3,0,0.2890373,-65.01393433,0,0
2,69,33,2,8,3,3,0,0.289037404,-65.57237549,0,0
2,69,33,2,8,3,3,0,0.289037404,-64.83015747,0,0
2,69,33,2,8,3,3,0,0.289037404,-64.77476044,0,0
2,69,33,2,8,3,3,0,0.289037404,-64.83299561,0,0
2,71,24,7,4,1,1,1,0.289039529,-62.66916962,0,0
2,71,24,7,4,1,1,1,0.289039736,-61.99035187,0,0
2,71,24,7,4,1,1,1,0.289040306,7.239507008,0,0
2,71,24,7,4,1,1,1,0.289039684,-62.68944092,0,0
2,71,24,7,4,1,1,1,0.289039736,-62.09031219,0,0
2,71,24,7,4,1,1,1,0.28903984,-62.77993317,0,0
2,71,24,7,4,1,1,1,0.28903984,-62.95109863,0,0
2,71,24,7,4,1,1,1,0.289039684,-61.99798126,0,0
2,71,24,7,4,1,1,1,0.289039529,-62.52263947,0,0
2,71,24,7,4,1,1,1,0.28903984,-62.71818085,0,0
2,98,7,31,32,4,2,0,0.289039684,-83.87785645,0,0
2,98,7,31,32,4,2,0,0.289039425,-83.75209351,0,0
2,98,7,31,32,4,2,0,0.289039529,-85.52006836,0,0
2,98,7,31,32,4,2,0,0.289040255,-85.41620178,0,0
2,98,7,31,32,4,2,0,0.289039684,-84.66972656,0,0
2,98,7,31,32,4,2,0,0.289039892,-84.08399506,0,0
2,98,7,31,32,4,2,0,0.289039425,-85.24801178,0,0
2,98,7,31,32,4,2,0,0.289040721,-85.26807709,0,0
2,98,7,31,32,4,2,0,0.289040151,-81.57851715,0,0
2,98,7,31,32,4,2,0,0.289039529,-85.52006836,0,0
3,21,20,17,5,3,0,1,0.289038544,-83.53405304,0,0
3,21,20,17,5,3,0,1,0.289039995,-64.08930511,0,0
3,21,20,17,5,3,0,1,0.289038751,-63.8497345,0,0
3,21,20,17,5,3,0,1,0.289038389,-64.46193237,0,0
3,21,20,17,5,3,0,1,0.289039477,-64.38700409,0,0
3,21,20,17,5,3,0,1,0.289038285,-83.55215759,0,0
3,21,20,17,5,3,0,1,0.289039529,-63.87222595,0,0
3,21,20,17,5,3,0,1,0.289039166,-64.65204926,0,0
3,21,20,17,5,3,0,1,0.289038337,-64.44738312,0,0
3,21,20,17,5,3,0,1,0.289038285,-84.29398651,0,0
3,27,59,2,14,2,1,0,0.289037404,-64.48184509,0,0
3,27,59,2,14,2,1,0,0.2890373,-63.77589722,0,0
3,27,59,2,14,2,1,0,0.289037456,-64.24707336,0,0
3,27,59,2,14,2,1,0,0.2890373,-64.15391083,0,0
3,27,59,2,14,2,1,0,0.289037456,-63.29914398,0,0
3,27,59,2,14,2,1,0,0.289037145,-63.92793579,0,0
3,27,59,2,14,2,1,0,0.2890373,-64.17881317,0,0
3,27,59,2,14,2,1,0,0.289037611,-64.22153778,0,0
3,27,59,2,14,2,1,0,0.289037404,-63.9926712,0,0
3,27,59,2,14,2,1,0,0.2890373,-63.77589722,0,0
3,40,17,27,20,3,0,0,0.289024965,-67.47882385,0,0
3,40,17,27,20,3,0,0,0.242670795,7.710794497,0,-4
3,40,17,27,20,3,0,0,0.289025172,-67.50641174,0,0
3,40,17,27,20,3,0,0,0.289023513,-67.66375275,0,0
3,40,17,27,20,3,0,0,0.289023669,-68.37774963,0,0
3,40,17,27,20,3,0,0,0.289025483,-67.61453552,0,0
3,40,17,27,20,3,0,0,0.289025327,-68.28283234,0,0
3,40,17,27,20,3,0,0,0.289025327,-67.87752075,0,0
3,40,17,27,20,3,0,0,0.289023669,-68.37774963,0,0
3,40,17,27,20,3,0,0,0.289025327,-67.87752075,0,0
