TargetIndex,TimeOfDay,EgoSpeed,TrafficAmount,KeepLane,Weather,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
7.0,0.75,40.0,3.0,0.0,0.0,9999.900390625,-5360.282928466797,-482.01108982794966,53.73369,1,1,1,1,1
7.0,0.77,48.0,6.0,0.0,1.0,9999.900390625,-16982.3623046875,-578.9023290281214,103.785904,1,1,1,1,1
7.0,0.84,31.0,7.0,1.0,6.0,2.98020601272583,-17006.43798828125,-598.0424346889047,104.29793,1,1,1,0,1
7.0,0.87,24.0,6.0,1.0,2.0,3.468494176864624,-21290.3046875,-571.8715551897493,102.41798,1,1,1,1,1
7.0,0.89,49.0,0.0,0.0,3.0,9999.900390625,-1169.261260986328,-480.5379481884661,55.192856,0,0,0,0,0
7.0,0.98,24.0,6.0,1.0,2.0,3.1059627532958984,-18331.83203125,-579.8817467373318,104.0359,1,0,1,1,1
8.0,0.18,36.0,2.0,1.0,5.0,9999.900390625,-19299.521484375,-685.388419092635,101.2693,1,1,1,1,1
8.0,0.3,24.0,2.0,1.0,5.0,3.23066520690918,-15981.50341796875,-669.1672325616429,100.118416,1,1,1,1,1
8.0,0.34,21.0,7.0,1.0,6.0,2.6246373653411865,-13427.73046875,-760.4129556318971,109.57481,1,0,1,0,1
8.0,0.45,23.0,1.0,1.0,6.0,9999.900390625,-0.7300536036491394,-651.3322672745098,72.79511,0,0,0,0,0
8.0,0.45,31.0,1.0,1.0,5.0,9999.900390625,-2176.1522216796875,-631.7275027784525,55.55757,0,0,0,0,0
8.0,0.69,46.0,9.0,1.0,0.0,3.031738519668579,-25037.4453125,-696.4907873897997,103.8403,1,1,1,1,1
8.0,0.79,24.0,5.0,0.0,6.0,9999.900390625,-1.9816577434539795,-622.599242636683,53.8866,0,0,1,1,1
8.0,0.89,35.0,10.0,0.0,1.0,9999.900390625,-18446.4140625,-796.2967066124371,109.28207,1,0,1,1,1
8.0,0.99,33.0,8.0,0.0,1.0,9999.900390625,-18982.9912109375,-678.2419515069219,99.9911,1,1,1,1,1
8.0,0.99,39.0,0.0,1.0,2.0,9999.900390625,-2174.3999633789062,-630.5456655498203,54.189587,0,0,0,0,0
9.0,0.01,23.0,4.0,1.0,4.0,3.0063960552215576,-15451.62646484375,-570.4759077305669,104.33942,1,1,1,1,1
9.0,0.05,34.0,2.0,0.0,6.0,9999.900390625,-5248.6064453125,-473.5743979989524,52.1319,0,1,1,1,1
9.0,0.21,27.0,6.0,0.0,3.0,9999.900390625,-1034.8744506835938,-474.9871252802639,54.521168,1,0,1,1,1
9.0,0.28,30.0,7.0,1.0,6.0,9999.900390625,-28600.63671875,-556.6445758295517,101.24267,1,1,1,1,1
9.0,0.46,28.0,1.0,0.0,2.0,9999.900390625,-2176.6243438720703,-474.0321328837108,52.292458,0,0,0,0,0
9.0,0.48,44.0,0.0,0.0,6.0,9999.900390625,-1166.953842163086,-472.5184571252012,53.379105,0,0,0,0,0
9.0,0.53,41.0,9.0,1.0,1.0,9999.900390625,-18962.666015625,-660.8022844517278,109.5686,1,1,1,1,1
9.0,0.53,42.0,7.0,1.0,6.0,9999.900390625,-6030.9345703125,-677.1214471168211,109.55507,1,0,1,0,1
9.0,0.56,20.0,4.0,0.0,0.0,9999.900390625,-16857.03564453125,-574.1048599948157,104.28665,0,1,1,1,1
9.0,0.69,23.0,6.0,0.0,3.0,9999.900390625,-61.93585968017578,-490.10688883317664,55.20556,0,0,0,0,0
9.0,0.74,31.0,3.0,1.0,4.0,9999.900390625,-2179.334259033203,-493.195636727264,56.344177,1,1,1,1,1
9.0,0.81,24.0,1.0,0.0,0.0,9999.900390625,-1.9814282655715945,-483.5742509242571,52.24416,0,0,0,0,0
9.0,0.85,28.0,5.0,0.0,3.0,9999.900390625,-1214.4367980957031,-474.3067272719622,54.034214,0,0,1,1,1
9.0,0.94,48.0,0.0,0.0,2.0,9999.900390625,-1166.0158386230469,-472.9285802496387,53.324055,0,0,0,0,0
