Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
12.0,42.0,75.0,22.0,0.0,0.0,0.0,3.0,0.2890353306480075,-64.86636657714844,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,46.0,92.0,26.0,27.0,4.0,3.0,2.0,0.2890361599300218,-86.79751892089844,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,48.0,43.0,32.0,6.0,0.0,0.0,0.0,0.2890373001927914,-66.15610809326172,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,56.0,32.0,21.0,16.0,4.0,1.0,2.0,0.289031287898188,-81.93716735839844,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,63.0,46.0,29.0,21.0,1.0,2.0,3.0,0.289034138555112,-59.94127197265625,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,64.0,12.0,28.0,24.0,4.0,1.0,3.0,-0.5894416104192319,-83.06528015136719,0.0,-4.0,0.0,1.0,0.0,0.0,1
12.0,73.0,93.0,27.0,32.0,4.0,2.0,3.0,0.2890256384144658,-80.438525390625,-438.0,0.0,0.0,1.0,1.0,0.0,1
12.0,80.0,2.0,25.0,18.0,4.0,2.0,0.0,0.2890357452890146,-61.54934234619141,0.0,0.0,0.0,1.0,0.0,0.0,1
12.0,86.0,78.0,33.0,28.0,4.0,3.0,1.0,0.2890322208404541,-84.47531433105469,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,87.0,88.0,17.0,11.0,4.0,3.0,3.0,0.289039891699086,-79.5419418334961,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,88.0,48.0,8.0,23.0,0.0,2.0,0.0,0.2890344495358674,-62.61226196289063,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,0.0,31.0,30.0,8.0,4.0,0.0,1.0,0.2890201444211213,-77.02190704345703,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,38.0,82.0,12.0,6.0,3.0,0.0,1.0,0.2890333611032236,-76.66798706054688,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,41.0,34.0,7.0,29.0,3.0,1.0,3.0,0.2890396843785824,-62.8302490234375,0.0,0.0,0.0,1.0,0.0,0.0,1
13.0,41.0,70.0,11.0,11.0,0.0,1.0,2.0,0.289032739141713,-69.54751129150391,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,56.0,6.0,19.0,35.0,2.0,0.0,0.0,0.2890352788178816,-78.84510345458985,0.0,0.0,0.0,1.0,1.0,0.0,1
13.0,61.0,25.0,24.0,34.0,4.0,3.0,1.0,0.2890248091324515,-80.30458374023438,0.0,0.0,0.0,1.0,0.0,0.0,1
13.0,65.0,17.0,20.0,14.0,1.0,0.0,1.0,0.2890324799910835,-74.3789779663086,0.0,0.0,0.0,1.0,0.0,0.0,1
14.0,10.0,42.0,38.0,26.0,2.0,3.0,1.0,0.2890362117601477,-72.59237213134766,0.0,0.0,0.0,0.0,1.0,0.0,1
14.0,17.0,98.0,29.0,9.0,0.0,1.0,0.0,0.289034138555112,-61.09269256591797,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,19.0,55.0,38.0,8.0,1.0,0.0,0.0,0.2890357452890146,-62.566455078125,0.0,0.0,0.0,1.0,1.0,0.0,1
14.0,21.0,7.0,4.0,3.0,3.0,2.0,3.0,0.2890378703241762,-77.34483642578125,-15.0,0.0,0.0,1.0,0.0,0.0,1
14.0,43.0,76.0,33.0,22.0,3.0,1.0,1.0,0.2890335684237272,-82.40077514648438,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,46.0,42.0,32.0,6.0,0.0,0.0,0.0,0.2890377148337986,-66.639697265625,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,51.0,94.0,2.0,36.0,1.0,0.0,3.0,0.2890377148337986,-63.77869720458985,0.0,0.0,0.0,1.0,0.0,0.0,1
14.0,55.0,12.0,20.0,3.0,0.0,0.0,1.0,0.2890321690103281,-66.33831329345703,0.0,0.0,0.0,1.0,0.0,0.0,1
14.0,63.0,26.0,19.0,21.0,4.0,2.0,0.0,0.2890353824781334,-75.99783630371094,0.0,0.0,0.0,0.0,1.0,0.0,1
