RoadType,RoadID,ScenarioLength,VehicleFront,VehicleAdjacent,VehicleOpposite,VehicleFrontTwoWheeled,VehicleAdjacentTwoWheeled,VehicleOppositeTwoWheeled,TimeOfDay,Weather,NumberOfPeople,TargetSpeed,Trees,Buildings,Task,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
0,0,0,1,0,0,1,0,1,2,5,0,4,1,1,0,0.008347826086956611,0.09,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,2,5,0,4,1,1,0,0.009043478260869597,0.09,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,0,4,1,4,1,1,0,0.006000000000000005,0.0,0.0,0.060140132347216935,1,0,0,1,1
0,0,0,1,0,0,1,1,0,0,4,1,4,1,1,0,0.006956521739130417,0.0,0.0,0.060140132347216935,1,0,0,1,1
0,0,0,1,0,0,1,1,0,0,4,1,4,1,1,0,0.008695652173913215,0.0,0.0,0.0636434410276373,1,0,0,1,1
0,0,0,1,0,0,1,1,0,0,4,1,4,1,1,0,0.008695652173913215,0.0,0.0,0.10237446477228507,1,0,0,1,1
0,0,0,1,0,0,1,1,0,0,4,1,4,1,1,0,0.08739130434782616,0.0,0.0,0.10237446477228507,1,0,0,1,1
0,0,0,1,0,0,1,1,0,0,4,1,4,1,1,0,0.08739130434782616,0.0,0.0,0.10276372129233169,1,0,0,1,1
0,0,0,1,0,0,1,1,0,1,1,1,4,1,1,0,0.0066956521739132135,0.96,0.0,0.30712339431685476,0,1,0,1,1
0,0,0,1,0,0,1,1,0,1,1,1,4,1,1,0,0.008000000000000007,0.96,0.0,0.30712339431685476,0,1,0,1,1
0,0,0,1,0,0,1,1,0,1,1,1,4,1,1,0,0.008695652173913215,0.96,0.0,0.30712339431685476,0,1,0,1,1
0,0,0,1,0,1,0,0,0,0,2,1,3,1,1,0,0.020521739130434757,0.0,0.0,0.0618917866874269,0,0,0,1,1
0,0,0,1,0,1,0,0,0,0,2,1,3,1,1,0,0.03078260869565219,0.0,0.0,0.0618917866874269,0,0,0,1,1
0,0,0,1,0,1,0,0,0,0,2,1,3,1,1,0,0.06234782608695655,0.0,0.0,0.0618917866874269,0,0,0,1,1
0,0,0,1,0,1,0,0,0,0,2,1,3,1,1,0,0.06234782608695655,0.0,0.0,0.34235110938108204,0,0,0,1,1
0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.00269565217391321,0.0,0.0,0.016154145581938506,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.00269565217391321,0.0,0.0,0.03697936940443758,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.07626086956521738,0.0,0.0,0.03970416504476448,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.07626086956521738,0.0,0.0,0.05488516932658627,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.07626086956521738,0.0,0.0,0.3622031919034644,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.07626086956521738,0.0,0.0,0.3649279875437913,1,0,0,1,1
0,0,0,1,0,1,0,1,1,1,0,0,2,1,1,0,0.005478260869565266,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,0.0009565217391304115,0.0,0.0,0.07240171272868834,0,0,0,1,1
0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,0.04382608695652157,0.0,0.0,0.07240171272868834,0,0,0,1,1
0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,0.04382608695652157,0.0,0.0,0.07785130400934226,0,0,0,1,1
0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,0.04382608695652157,0.0,0.0,0.08115998442973915,0,0,0,1,1
0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,0.04382608695652157,0.0,0.0,0.10003892565200467,0,0,0,1,1
0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,0.04773913043478262,0.0,0.0,0.10003892565200467,0,0,0,1,1
0,0,0,1,0,1,1,1,1,1,2,0,2,1,1,0,0.00034782608695682615,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,1,1,1,1,1,2,0,2,1,1,0,0.05495652173913057,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,1,1,1,1,1,2,0,2,1,1,0,0.0554782608695652,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,1,1,1,1,1,2,0,2,1,1,0,0.05739130434782613,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,6,1,3,1,1,0,0.031652173913043646,0.0,0.0,0.09400544959128065,0,0,0,1,1
0,0,0,1,1,0,0,0,0,0,6,1,3,1,1,0,0.04521739130434799,0.0,0.0,0.09400544959128065,0,0,0,1,1
0,0,0,1,1,0,0,0,0,0,6,1,3,1,1,0,0.052173913043478404,0.0,0.0,0.3594783962631374,0,0,0,1,1
0,0,0,1,1,0,0,0,0,1,5,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,2,4,0,4,1,1,0,0.0036521739130436215,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,0,0,1,0,2,4,0,4,1,1,0,0.011391304347826203,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,0,0,1,0,2,4,0,4,1,1,0,0.07782608695652182,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,0,1,0,1,2,0,0,3,1,1,0,0.0651304347826086,0.030000000000000027,0.0,0.0,1,1,0,0,1
0,0,0,1,1,0,1,0,1,2,0,0,3,1,1,0,0.06965217391304346,0.41000000000000003,0.0,0.0,1,1,0,0,1
0,0,0,1,1,0,1,0,1,2,0,0,3,1,1,0,0.06965217391304346,0.44,0.0,0.0,1,1,0,0,1
0,0,0,1,1,0,1,0,1,2,0,0,3,1,1,0,0.06965217391304346,0.99,0.0,0.0,1,1,0,0,1
0,0,0,1,1,0,1,0,1,2,0,0,3,1,1,0,0.07443478260869563,0.99,0.0,0.0,1,1,0,0,1
0,0,0,1,1,0,1,1,0,2,3,1,3,1,1,0,0.019478260869565056,0.0,0.0,0.0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,2,3,1,3,1,1,0,0.06956521739130428,0.0,0.0,0.0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,2,3,1,3,1,1,0,0.06956521739130428,0.96,0.0,0.0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,2,3,1,3,1,1,0,0.08113043478260862,0.96,0.0,0.0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,2,3,1,3,1,1,0,0.08113043478260862,0.96,0.0,0.31724406383806936,1,1,0,1,1
0,0,0,1,1,1,0,0,0,1,5,1,3,1,1,0,0.017130434782608672,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,1,5,1,3,1,1,0,0.030434782608695476,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.004260869565217207,0.0,0.0,0.01693265862203197,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.01878260869565207,0.0,0.0,0.03211366290385376,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.02460869565217405,0.0,0.0,0.059556247567146836,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.02634782608695685,0.0,0.0,0.059556247567146836,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.029043478260869615,0.0,0.0,0.059556247567146836,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.04391304347826108,0.0,0.0,0.059556247567146836,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.054260869565217695,0.0,0.0,0.059556247567146836,0,0,0,1,1
0,0,0,1,1,1,0,0,1,0,1,1,3,1,1,0,0.05617391304347841,0.0,0.0,0.059556247567146836,0,0,0,1,1
0,0,0,1,1,1,0,0,1,2,5,1,4,1,1,0,0.006608695652173924,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,2,5,1,4,1,1,0,0.008347826086956611,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,2,5,1,4,1,1,0,0.015130434782608781,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,2,5,1,4,1,1,0,0.015652173913043632,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,2,5,1,4,1,1,0,0.01573913043478281,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,2,5,1,4,1,1,0,0.07965217391304358,0.0,0.0,0.0,1,0,0,0,1
0,0,0,1,1,1,1,0,0,1,0,0,2,1,1,0,0.0010434782608695903,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,0,0,2,1,1,0,0.001913043478261045,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,0,0,2,1,1,0,0.006521739130434856,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.0010434782608697013,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.0010434782608697013,0.009999999999999998,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.00269565217391321,0.09,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.016000000000000125,0.09,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.02034782608695651,0.1,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,0,4,1,4,1,1,0,0.061913043478260765,0.0,0.0,0.3454651615414558,1,0,0,1,1
0,0,0,1,1,1,1,1,0,0,4,1,4,1,1,0,0.0625217391304348,0.0,0.0,0.3454651615414558,1,0,0,1,1
0,0,0,1,1,1,1,1,0,0,4,1,4,1,1,0,0.0625217391304348,0.0,0.0,0.3460490463215259,1,0,0,1,1
0,0,0,1,1,1,1,1,0,0,4,1,4,1,1,0,0.06286956521739118,0.0,0.0,0.3460490463215259,1,0,0,1,1
0,0,0,1,1,1,1,1,0,0,4,1,4,1,1,0,0.0778260869565216,0.0,0.0,0.3460490463215259,1,0,0,1,1
0,0,0,1,1,1,1,1,0,1,2,1,2,1,1,0,0.02556521739130435,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,1,2,1,2,1,1,0,0.02930434782608693,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,1,2,1,2,1,1,0,0.03330434782608693,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,2,3,1,4,1,1,0,0.005391304347825976,0.0,0.0,0.0,0,1,0,1,1
0,0,0,1,1,1,1,1,0,2,3,1,4,1,1,0,0.006086956521739184,0.96,0.0,0.0,0,1,0,1,1
0,0,0,1,1,1,1,1,0,2,3,1,4,1,1,0,0.006086956521739184,0.98,0.0,0.0,0,1,0,1,1
0,0,0,1,1,1,1,1,0,2,3,1,4,1,1,0,0.036347826086956414,0.98,0.0,0.0,0,1,0,1,1
0,0,0,1,1,1,1,1,0,2,3,1,4,1,1,0,0.036347826086956414,1.03,0.0,0.3174386920980925,0,1,0,1,1
0,0,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0.0059130434782608265,0.10999999999999999,0.0,0.0,1,1,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0.0059130434782608265,0.34,0.0,0.0,1,1,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0.0059130434782608265,0.96,0.0,0.0,1,1,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0.06947826086956521,0.96,0.0,0.0,1,1,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0.06947826086956521,0.97,0.0,0.0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,3,1,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,3,1,3,1,1,0,0.00017391304347835757,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0.0003478260869564931,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0.0008695652173912327,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0.0055652173913043335,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0.009478260869565158,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0.010695652173913106,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,1,1,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,2,1,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,2,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,2,0,4,1,1,0,0.00017391304347835757,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,2,4,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,1,1,0,2,3,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,2,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,4,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,2,3,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,1,2,1,1,0,0.007130434782608774,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,1,2,1,1,0,0.007565217391304446,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,2,1,4,1,1,0,0.00017391304347813552,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,2,1,4,1,1,0,0.02704347826086939,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,2,1,4,1,1,0,0.027217391304347638,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1,3,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,2,2,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,2,6,1,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,1,0,2,4,1,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,1,0,0,0,1,1,1,0,2,4,1,2,1,1,0,8.695652173906776e-05,0.0,0.0,0.0,0,0,0,0,0
