Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,5.183012596887693e-08,1.0405502319336009,0.0,0.0,0,0,1,0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,1.036602517712204e-07,1.2633819580078125,0.0,0.0,0,0,1,0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,1.5549037768458618e-07,1.3551712036132812,0.0,0.0,0,0,1,0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,3.62810881227027e-07,1.3551712036132812,0.0,0.0,0,0,1,0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,4.1464100714039276e-07,1.3551712036132812,0.0,0.0,0,0,1,0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,4.664711329982474e-07,1.3551712036132812,3879.0,0.0,0,0,1,0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,5.18301258856102e-07,1.3551712036132812,3879.0,0.0,0,0,1,0,1
2.0,44.0,52.0,1.0,37.0,1.0,3.0,1.0,0.0,0.9078674316406321,0.0,0.0,0,0,1,0,1
2.0,44.0,52.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.2969512939453125,0.0,0.0,0,0,1,0,1
2.0,44.0,52.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.2969512939453125,2.0,0.0,0,0,1,0,1
2.0,44.0,52.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.2969512939453125,2291.0,0.0,0,0,1,0,1
2.0,44.0,52.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.6863937377929688,2291.0,0.0,0,0,1,0,1
2.0,53.0,35.0,15.0,23.0,3.0,1.0,1.0,5.701313848804901e-07,5.7756805419921875,0.0,0.0,0,0,0,0,0
2.0,53.0,35.0,15.0,23.0,3.0,1.0,1.0,1.0884326437921032e-06,5.7756805419921875,0.0,0.0,0,0,0,0,0
2.0,69.0,33.0,2.0,8.0,3.0,3.0,0.0,1.0366025182673155e-07,0.25377655029296875,0.0,0.0,0,0,0,0,0
2.0,69.0,33.0,2.0,8.0,3.0,3.0,0.0,1.0366025182673155e-07,0.7970123291015625,0.0,0.0,0,0,0,0,0
2.0,69.0,33.0,2.0,8.0,3.0,3.0,0.0,1.5549037768458618e-07,0.7970123291015625,0.0,0.0,0,0,0,0,0
