RoadType,RoadID,ScenarioLength,VehicleFront,VehicleAdjacent,VehicleOpposite,VehicleFrontTwoWheeled,VehicleAdjacentTwoWheeled,VehicleOppositeTwoWheeled,TimeOfDay,Weather,NumberOfPeople,TargetSpeed,Trees,Buildings,Task,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
0,2,0,1,1,1,1,0,1,1,2,0,3,1,1,0,0.9619130434782608,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,1,1,0,2,3,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0.8703478260869565,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,1,1,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,1,0,0,0,5,0,2,1,1,0,0.8699130434782608,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,1,0,0,2,4,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,1,0,1,1,4,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,1,0,1,2,6,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,0,1,1,1,2,3,1,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,0,0,0,1,6,1,2,1,1,0,0.8699130434782608,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,0,1,1,0,0,0,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,1,0,1,0,2,0,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,1,0,1,1,0,1,2,1,1,0,0.8723478260869565,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,1,1,1,1,0,0,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,1,1,1,1,4,0,4,1,1,0,0.8840869565217391,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,0,1,1,1,1,2,4,1,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,2,6,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,0,1,0,0,4,0,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,0,1,1,0,0,1,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,0,1,1,2,6,1,4,1,1,0,0.8840869565217391,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,0,0,1,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,0,1,6,1,2,1,1,0,0.8727826086956522,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,0,2,4,1,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,1,0,5,0,3,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,1,0,6,1,2,1,1,0,0.8726086956521739,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,1,2,2,0,2,1,1,0,0.8699130434782608,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,0,1,1,1,2,4,0,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
0,3,0,0,1,1,0,0,0,0,4,0,4,1,1,0,0.884,1.0,1.0,1.0,0,0,0,0,0
